Time,Type,Price,Invested,AvgPrice,Profit,Balance,ROI,Note
2026-02-09 00:29:55,OPEN_LONG,2103.67,500.00,2103.67,0.00,1000.00,0.00%,지지대 반등 (내부 매수)
2026-02-09 00:47:55,CLOSE_LONG,2109.55,500.00,2103.67,8.97,1008.97,1.79%,롱 청산: 3연속 음봉 또는 하락 장악형
2026-02-09 18:44:55,OPEN_LONG,2039.52,500.00,2039.52,0.00,1000.00,0.00%,지지대 반등 (내부 매수)
2026-02-09 18:50:55,CLOSE_LONG,2037.63,500.00,2039.52,-9.63,990.37,-1.93%,롱 청산: 3연속 음봉 또는 하락 장악형
2026-02-09 18:56:55,OPEN_LONG,2037.85,495.18,2037.85,0.00,990.37,0.00%,지지대 반등 (내부 매수)
